"시점","관측지점별",평균기온 (℃),평균최고기온 (℃),평균최저기온 (℃),최고기온 (℃),최저기온 (℃),합계강수량 (mm),평균지면온도 (℃)
"2011","속초",12.1,16.0,8.4,35.7,-13.2,1656.1,13.2
"2011","철원",9.8,16.0,4.2,34.3,-24.3,1656.3,12.2
"2011","동두천",10.7,16.8,5.9,35.2,-19.1,2311.2,13.3
"2011","파주",10.4,16.7,5.1,34.1,-23.0,2063.3,13.1
"2011","대관령",6.8,11.8,1.7,28.3,-23.8,1762.1,8.5
"2011","춘천",10.7,16.5,5.7,34.2,-22.5,2029.3,12.9
"2011","백령도",10.2,13.2,7.9,28.9,-13.3,988.1,12.7
"2011","북강릉",11.8,16.1,7.7,34.8,-16.2,1692.6,12.9
"2011","강릉",12.6,16.8,9.0,35.2,-13.5,1810.5,13.6
"2011","동해",12.1,16.0,8.6,34.1,-12.9,1765.7,13.9
"2011","서울",12.0,16.4,8.4,34.1,-17.8,2039.3,14.0
"2011","인천",12.0,15.6,9.0,32.9,-14.9,1725.5,13.9
"2011","원주",11.7,17.3,6.8,35.4,-18.6,2188.0,13.3
"2011","울릉도",12.1,14.9,9.7,31.1,-8.6,1795.8,13.0
"2011","수원",11.8,16.8,7.4,35.8,-16.9,1975.9,12.2
"2011","영월",11.0,17.4,5.6,35.4,-20.4,2085.7,13.1
"2011","충주",11.4,17.3,6.2,34.6,-19.3,2073.3,13.0
"2011","서산",11.6,16.4,7.2,33.0,-14.7,1704.4,14.6
"2011","울진",12.0,16.6,7.9,35.3,-14.0,1376.6,13.7
"2011","청주",12.8,17.9,8.4,35.0,-15.5,1805.6,13.4
"2011","대전",12.6,17.6,8.2,33.3,-16.1,1943.4,14.6
"2011","추풍령",11.5,16.6,6.8,31.9,-15.9,1401.8,12.9
"2011","안동",12.2,18.1,6.9,33.9,-16.9,1251.5,14.0
"2011","상주",12.0,17.5,7.4,33.7,-15.8,1250.5,13.9
"2011","포항",14.3,18.5,10.8,35.1,-12.7,1089.9,16.2
"2011","군산",12.2,16.7,8.3,34.0,-13.6,1634.2,13.5
"2011","대구",14.3,19.3,9.9,35.5,-13.1,1430.4,16.1
"2011","전주",13.1,18.7,8.4,36.2,-13.4,1621.8,16.3
"2011","울산",13.7,18.8,9.4,34.6,-13.5,1233.2,14.7
"2011","창원",14.3,18.7,10.7,33.7,-13.1,1514.0,15.3
"2011","광주",13.7,19.0,9.5,35.3,-11.7,1300.3,15.9
"2011","부산",14.6,18.8,11.3,33.0,-12.8,1478.6,16.1
"2011","통영",13.8,18.0,10.4,32.8,-10.7,1524.9,15.9
"2011","목포",13.0,17.1,9.7,33.3,-8.3,982.1,15.5
"2011","여수",14.0,17.3,11.3,32.4,-10.4,1650.4,14.9
"2011","흑산도",12.9,15.7,10.8,31.0,-5.7,830.7,15.7
"2011","완도",13.9,18.3,10.2,34.5,-7.1,1363.2,15.9
"2011","고창",13.0,18.4,8.4,36.7,-13.9,1411.3,15.1
"2011","진도(첨찰산)",11.3,15.9,8.3,32.7,-10.8,1263.9,14.1
