시도명,시군명,코드,최근1개월강수량(mm),최근1개월평년강수량(mm),최근1개월평년비(%),최근1개월부족량(mm),금년강수량(mm),금년평년강수량(mm),금년평년비(%),금년부족량(mm),최근1년강수량(mm),최근1년평년강수량(mm),최근1년평년비(%),최근1년부족량(mm),홍수기이후강수량(mm),홍수기이후평년강수량(mm),홍수기이후평년비(%),홍수기이후부족량(mm)
서울특별시,서울특별시,11000,244.5,383.613242625456,63.7360687359585,139.113242625456,677.1,731.510473824817,92.5619009198429,54.4104738248167,1105.1,1298.97017539123,85.0750864751115,193.870175391235,794.1,846.133634049469,93.850423626296,52.0336340494694
부산광역시,부산광역시,26000,134.7,296.588152016489,45.4165141406294,161.888152016489,527,894.063134759353,58.9443831773522,367.063134759353,1198.2,1442.75392797328,83.0495053084474,244.553927973277,612.9,1041.98092151677,58.8206547110118,429.080921516774
부산광역시,기장군,26710,140.6,279.01437258573,50.3916693240594,138.41437258573,610.7,892.434939090295,68.430758730997,281.734939090295,1335.8,1496.69865575874,89.249762793622,160.898655758735,710.3,1053.6013979108,67.4163873936066,343.301397910801
대구광역시,대구광역시,27000,98.2,227.600732612679,43.1457310671808,129.400732612679,273.6,600.677557702412,45.5485636997191,327.077557702412,765.8,1087.30804521883,70.4308225592015,321.508045218834,373,699.905743424875,53.2928902933108,326.905743424875
대구광역시,달성군,27710,97.2,236.448970738931,41.1082356147453,139.248970738931,265.1,627.369645333347,42.2557900229842,362.269645333347,773.8,1112.70747611453,69.5420869015848,338.907476114533,354.9,726.150962513959,48.8741347627392,371.250962513959
인천광역시,인천광역시,28000,191.1,345.494344233045,55.3120487179663,154.394344233045,510,681.490157545562,74.8360037710307,171.490157545562,982.6,1208.41832137949,81.3129015520303,225.818321379489,631.6,800.637815364644,78.8871057398586,169.037815364644
인천광역시,강화군,28710,216.3,350.338644326508,61.7402628864468,134.038644326508,513.6,700.263947053742,73.3437730388516,186.663947053742,910.2,1247.61068173625,72.955451033275,337.410681736253,617.7,821.254568963555,75.2141934235512,203.554568963555
인천광역시,옹진군,28720,220.1,327.173333333333,67.2732089004809,107.073333333333,485.3,666.943333333333,72.7648026069181,181.643333333333,922.8,1190.22666666667,77.5314505920441,267.426666666667,623.9,789.756666666667,78.9990165747255,165.856666666667
광주광역시,광주광역시,29000,182.6,283.388233056913,64.4345737401624,100.788233056913,437.8,744.316472625297,58.8190663651209,306.516472625297,1011.9,1331.92605584527,75.9726859880242,320.026055845266,556.9,885.045358107632,62.9233287196422,328.145358107632
대전광역시,대전광역시,30000,175.9,297.006765946967,59.2242400401775,121.106765946967,414.8,725.634353828657,57.1637764683266,310.834353828657,915.1,1290.38347235642,70.9169033550082,375.283472356418,509.1,856.576951903707,59.4342398389947,347.476951903707
울산광역시,울산광역시,31000,117.2,224.376677391119,52.2335927970376,107.176677391119,430.9,709.923546198321,60.6966767488545,279.023546198321,1122,1251.53254986125,89.6500854192241,129.532549861246,532.6,848.014343363944,62.8055414590344,315.414343363944
울산광역시,울주군,31710,124.3,260.34195690686,47.7448973176726,136.04195690686,490.6,791.108164141645,62.0142759533145,300.508164141646,1223.6,1394.582237366,87.7395371327158,170.982237365999,615.7,938.882786067558,65.5779410525582,323.182786067558
세종특별자치시,세종시,36110,148.4,286.933197652286,51.7193553113487,138.533197652286,404.7,701.636264461347,57.6794587877655,296.936264461347,902.5,1274.11515307805,70.8334719840441,371.615153078049,491.1,833.051214322291,58.9519577616273,341.951214322291
경기도,수원시,41110,195.7,373.63398257602,52.3774627379304,177.93398257602,624.6,739.469602746544,84.465946629869,114.869602746544,1083.1,1289.86769127275,83.9698526700267,206.767691272746,771.4,862.351815248239,89.4530499455077,90.9518152482393
경기도,성남시,41130,258.2,379.99948565858,67.9474603899823,121.79948565858,738.5,744.233934236656,99.2295521645977,5.7339342366555,1041.9,1309.18837742056,79.5836579341479,267.288377420561,828.1,862.942930179046,95.9623135017959,34.8429301790458
경기도,의정부시,41150,228.8,416.132392666511,54.9825017307318,187.332392666511,738.5,766.37679613588,96.3625208544365,27.8767961358803,1163.5,1361.08055062166,85.4835519814449,197.580550621657,872.6,882.185581500356,98.9134280018436,9.58558150035628
경기도,안양시,41170,283.1,355.570386723422,79.6185538983614,72.4703867234223,721.7,686.524249044056,105.123744864792,-,1143.9,1208.17534893426,94.6799652061301,64.2753489342622,852.6,794.955459661563,107.251291835014,-
경기도,부천시,41190,220,372.034864384802,59.1342427983981,152.034864384802,631.6,711.088936039499,88.8215197831339,79.4889360394988,1105.6,1237.1204357977,89.3688252176598,131.520435797702,749.5,824.924334706684,90.8568178276008,75.424334706684
경기도,광명시,41210,251.8,344.66,73.0575059478907,92.86,696.9,651.093333333333,107.035345674967,-,1133.5,1149.27666666667,98.6272525037487,15.7766666666666,809.2,749.673333333333,107.940347351291,-
경기도,평택시,41220,164.3,306.988197047907,53.5199729435722,142.688197047907,513.3,635.084461129742,80.8238953110109,121.784461129742,999.2,1155.76633055956,86.4534615328553,156.566330559558,680.5,745.286712824858,91.307142377556,64.7867128248575
경기도,동두천시,41250,287,381.46978329244,75.235316811445,94.46978329244,767.9,725.794051121728,105.801363184666,-,1154.9,1274.43642022671,90.620448511237,119.536420226712,906.3,838.32275631559,108.108719842363,-
경기도,안산시,41270,198.7,349.943893366996,56.780530755431,151.243893366996,615.6,684.832685617826,89.890569321269,69.232685617826,1064.8,1208.36166079353,88.1193134926798,143.561660793527,750.5,804.148620888333,93.3285191947395,53.6486208883325
경기도,고양시,41280,203.2,383.945988314597,52.9241107302579,180.745988314597,710.5,726.759777022979,97.7627026787883,16.2597770229794,1132.8,1286.45448500054,88.055971914119,153.654485000541,822.5,838.308472363689,98.1142416085674,15.8084723636889
경기도,과천시,41290,302,374.233828092365,80.6982098703976,72.2338280923652,724.2,730.301721269052,99.1644931004066,6.10172126905206,1184.4,1290.56139101841,91.7740146453138,106.161391018408,863.8,845.838948264896,102.123460000506,-
경기도,구리시,41310,234.6,398.220766044458,58.9120457806083,163.620766044458,710,733.716092608091,96.7676744660474,23.716092608091,1097.1,1292.60882169094,84.8748655888654,195.508821690937,820.4,843.267595436032,97.2882160348866,22.8675954360319
경기도,남양주시,41360,188.2,416.52436556187,45.183431165216,228.32436556187,581.6,768.094949003912,75.7198053123818,186.494949003912,995.6,1342.34465216042,74.1687314355252,346.744652160425,702,882.672372864955,79.5312079069005,180.672372864955
경기도,오산시,41370,212.5,347.055393169186,61.2294187563333,134.555393169186,709.1,685.60209319764,103.427338836258,-,1161.5,1218.7449561257,95.3029585199126,57.2449561256972,851.1,793.64219905218,107.239761320207,-
경기도,시흥시,41390,225,352.265263359084,63.8723210612579,127.265263359084,580.1,683.902321723147,84.8220544914062,103.802321723147,1039.5,1201.56820877283,86.5119426771159,162.068208772831,710.4,797.870371797864,89.0370196851947,87.4703717978634
경기도,군포시,41410,246.9,376.418034642892,65.5919688423627,129.518034642892,678.5,732.161150581374,92.6708552428978,53.6611505813742,1075.5,1279.70485296596,84.0428163968685,204.204852965962,813,852.061404820721,95.4156584725323,39.0614048207208
경기도,의왕시,41430,126.3,378.291016502035,33.3869942690856,251.991016502035,439.5,738.349270966297,59.5246744707711,298.849270966297,853.6,1289.48978140758,66.1967246509101,435.889781407583,573.8,855.468446308232,67.0743617109702,281.668446308232
경기도,하남시,41450,225.6,383.882740850264,58.7679455190711,158.282740850264,749.3,732.521133929678,102.290564093395,-,1119.9,1311.39135114251,85.397848554081,191.491351142514,843.9,855.736475087571,98.6168083946217,11.8364750875711
경기도,용인시,41460,206.3,360.962566268779,57.1527408319635,154.662566268779,618.5,741.036759981392,83.4641455594633,122.536759981392,1071.2,1298.82888353654,82.4742976983438,227.628883536538,759.2,858.847786038065,88.3975032994206,99.6477860380653
경기도,파주시,41480,227.9,364.419765101647,62.5377714999712,136.519765101647,727.8,688.002870895035,105.784442302282,-,1136.8,1227.7585893209,92.5914923249522,90.9585893208971,857.5,798.493164532441,107.389773399264,-
경기도,이천시,41500,215.3,346.793484479337,62.083057968417,131.493484479337,567.9,724.925194598379,78.3391175022723,157.025194598379,1024.6,1283.19897636346,79.8473205537993,258.598976363457,673.3,839.256728549335,80.2257494156534,165.956728549335
경기도,안성시,41550,162.6,317.281693266417,51.2478354253699,154.681693266417,483.6,674.486236918329,71.6990167522955,190.886236918329,985,1224.81605409697,80.420239162053,239.816054096966,621.7,793.590178460901,78.3401832424052,171.890178460901
경기도,김포시,41570,198.5,360.723150124718,55.0283506704158,162.223150124718,663.3,695.124845338471,95.4217079777987,31.8248453384705,1114.7,1230.05080653644,90.6222730050283,115.350806536435,781,809.211105018731,96.5137521168747,28.2111050187308
경기도,화성시,41590,197.4,335.701438508764,58.8022502604934,138.301438508764,633.6,678.026002492268,93.4477435483347,44.426002492268,1108.2,1197.28743803426,92.5592271993997,89.0874380342575,790.7,792.730286673379,99.7438868291637,2.03028667337867
경기도,광주시,41610,194.9,395.590963922487,49.2680616532458,200.690963922487,695.3,753.722182387622,92.2488439702606,58.4221823876217,1013.9,1319.21650011225,76.8562248814908,305.316500112246,785.2,862.930176344971,90.9922982790791,77.7301763449714
경기도,양주시,41630,243.5,377.595774069261,64.4869505227396,134.095774069261,803.8,717.363224863029,112.049234215132,-,1192.3,1278.26499712571,93.2748688793787,85.9649971257102,930.1,829.282370910031,112.157213589303,-
경기도,포천시,41650,267.3,395.944910207193,67.5093916121122,128.644910207193,784.2,755.265909507184,103.830980602805,-,1210.9,1315.89880286926,92.0207539789297,104.998802869256,947.7,869.292011651619,109.019752545455,-
경기도,여주시,41670,204.1,355.008129135021,57.4916412470021,150.908129135021,600.6,720.088464030911,83.40641879443,119.488464030911,1018.7,1265.06716683014,80.525368668965,246.367166830138,697.3,828.00672489007,84.2142918697402,130.70672489007
경기도,연천군,41800,230.7,379.296116975744,60.8231905560882,148.596116975744,723.7,713.207363552936,101.471190145148,-,1173.5,1267.75718051026,92.565044634784,94.2571805102584,892.2,823.753446877419,108.309106733579,-
경기도,가평군,41820,263.7,424.717586511372,62.0883166543751,161.017586511372,766.3,792.228415672152,96.7271540430479,25.9284156721518,1147.2,1378.52369073928,83.2194620742991,231.323690739276,898.8,905.715671056262,99.2364412721051,6.91567105626177
경기도,양평군,41830,225.7,407.92223873091,55.3291727124701,182.22223873091,688.9,787.79131038105,87.4470168586631,98.8913103810502,1100.8,1368.62315132065,80.4311982402011,267.823151320651,788,900.262310505884,87.5300443886404,112.262310505884
강원도,춘천시,42110,207.5,383.145842663077,54.1569232639351,175.645842663077,625.6,732.904677237412,85.358985885875,107.304677237412,997.4,1269.24175765659,78.5823499725936,271.84175765659,741.9,839.300272375529,88.3950624607984,97.4002723755291
강원도,원주시,42130,256.4,349.610303620578,73.3387996133729,93.2103036205779,594.3,717.335839800198,82.8482235274251,123.035839800198,1074.6,1257.8726886418,85.429949286864,183.272688641797,705.8,825.555501405457,85.4939490801551,119.755501405457
강원도,강릉시,42150,198.4,270.499019573796,73.3459220342474,72.0990195737958,523.3,689.388759240901,75.9078231238083,166.088759240901,1174.9,1379.97723473087,85.139085662463,205.077234730867,680,875.102701448325,77.7051652194167,195.102701448325
강원도,동해시,42170,159.2,228.760495923864,69.5924352485165,69.5604959238636,463.6,617.186291204561,75.1150838258563,153.586291204561,1203.6,1241.41564162355,96.953829132192,37.8156416235481,642.4,785.250700073757,81.8082683580748,142.850700073757
