,시점,관측지점별,평균기온 (℃),평균최고기온 (℃),평균최저기온 (℃),최고기온 (℃),최저기온 (℃),합계강수량 (mm),평균지면온도 (℃),대분류
0,2002,속초,12.0,16.3,8.0,36.6,-11.0,1550.3,13.3,강원도
1,2002,철원,10.1,16.1,4.5,34.4,-24.4,1289.3,12.0,강원도
2,2002,동두천,11.1,17.5,5.8,35.6,-20.4,1261.1,14.3,경기도
3,2002,파주,10.8,16.9,5.4,35.0,-21.8,1225.0,12.6,경기도
4,2002,대관령,7.5,12.7,2.9,30.6,-19.2,2697.6,9.1,강원도
5,2002,춘천,11.6,17.7,6.2,35.7,-20.7,1177.7,12.6,강원도
6,2002,백령도,10.9,14.4,8.2,33.5,-8.7,568.6,12.7,인천광역시
7,2002,강릉,13.2,17.4,9.3,35.5,-10.3,2066.2,13.8,강원도
8,2002,동해,11.8,16.2,7.8,34.4,-9.5,1632.8,14.4,강원도
9,2002,서울,12.9,17.2,9.1,34.8,-12.0,1388.0,13.1,서울특별시
10,2002,인천,13.1,17.8,9.4,37.0,-10.6,1033.7,14.6,인천광역시
11,2002,원주,11.7,17.5,6.6,34.8,-17.7,1481.7,13.2,경상북도
12,2002,울릉도,12.2,15.8,9.6,31.9,-7.8,1950.1,13.8,경상북도
13,2002,수원,11.7,16.5,7.2,34.5,-13.3,1231.7,13.0,경기도
14,2002,영월,10.3,16.5,4.7,33.9,-21.9,1406.5,13.5,강원도
15,2002,충주,11.2,17.0,6.0,34.9,-17.0,1469.6,12.6,충청북도
16,2002,서산,11.8,17.5,6.8,35.1,-12.7,1387.6,13.5,충청남도
17,2002,울진,12.7,17.3,8.5,36.3,-9.1,1440.5,14.3,경상북도
18,2002,청주,12.8,17.9,8.1,34.7,-13.1,1281.8,14.3,충청북도
19,2002,대전,13.3,18.4,8.8,34.2,-12.0,1378.7,16.1,대전광역시
20,2002,추풍령,11.8,17.9,6.5,34.1,-12.0,1459.7,14.4,충청북도
21,2002,안동,11.9,17.9,6.6,34.2,-14.1,1286.5,13.7,경상북도
22,2002,상주,12.6,18.6,7.5,35.0,-10.6,1245.7,13.8,경상북도
23,2002,포항,14.2,18.6,10.6,35.4,-7.5,1185.0,16.1,경상북도
24,2002,군산,13.1,17.4,9.8,35.3,-7.6,1193.2,14.5,전라북도
25,2002,대구,14.1,19.3,9.6,35.4,-8.5,1291.3,13.9,대구광역시
26,2002,전주,13.7,19.2,8.9,36.2,-9.7,1130.1,15.9,전라북도
27,2002,울산,14.4,19.3,10.2,35.0,-6.1,1559.8,16.6,울산광역시
28,2002,창원,14.9,19.2,11.4,36.2,-6.6,1873.2,15.3,경상남도
29,2002,광주,13.9,19.3,9.4,35.3,-7.5,1458.7,15.1,광주광역시
30,2002,부산,14.7,18.9,11.4,33.4,-6.2,2085.2,16.6,부산광역시
31,2002,통영,14.9,19.5,11.1,34.7,-6.3,1875.1,15.1,경상남도
32,2002,목포,13.9,18.0,10.5,32.7,-3.5,1162.2,16.3,전라남도
33,2002,여수,14.9,18.3,12.1,32.3,-4.2,1610.3,16.0,전라남도
34,2002,흑산도,13.2,16.2,11.0,30.0,-1.7,815.7,13.8,전라남도
35,2002,완도,13.7,18.4,9.8,32.5,-3.7,1853.8,15.0,전라남도
36,2002,진도(첨찰산),12.4,16.7,9.4,30.9,-5.5,1520.3,14.2,전라남도
37,2002,제주,15.8,18.7,13.1,35.0,0.6,1704.1,17.2,제주도
38,2002,고산,15.3,18.5,12.7,31.8,0.9,1225.8,18.3,제주도
39,2002,성산,15.7,19.4,12.2,31.8,-2.5,1781.5,14.2,제주도
40,2002,서귀포,17.3,20.8,14.2,34.0,1.2,1877.2,17.3,제주도
41,2002,진주,13.4,19.9,7.6,35.5,-11.5,1817.1,15.5,경상남도
42,2002,강화,10.8,15.9,6.2,34.3,-15.8,1156.5,13.0,인천광역시
43,2002,양평,11.7,17.7,6.5,35.2,-19.1,1333.1,12.8,경기도
44,2002,이천,11.4,17.7,6.0,34.5,-17.0,1394.6,12.9,경기도
45,2002,인제,10.5,16.6,5.3,34.5,-22.2,1243.2,11.2,강원도
46,2002,홍천,10.2,16.9,4.6,35.7,-22.0,1365.5,13.1,강원도
47,2002,태백,8.9,14.3,4.0,32.4,-16.1,1780.3,9.7,강원도
48,2002,제천,10.4,16.8,4.6,35.0,-23.7,1500.4,12.4,충청북도
49,2002,보은,11.2,17.3,5.8,32.9,-14.6,1284.9,13.3,충청북도
50,2002,천안,11.8,17.7,6.3,34.7,-15.3,1312.5,13.5,충청남도
51,2002,보령,12.8,17.4,8.9,34.9,-7.4,1453.2,14.0,충청남도
52,2002,부여,12.2,18.4,7.0,35.5,-12.6,1274.0,14.4,충청남도
53,2002,금산,11.9,18.5,6.3,34.2,-13.9,1390.7,18.4,충청남도
54,2002,부안,12.9,18.4,8.4,35.7,-10.5,1248.7,13.8,전라북도
55,2002,임실,11.2,17.8,5.6,34.0,-13.6,1580.3,12.9,전라북도
56,2002,정읍,13.2,18.9,8.4,35.9,-10.6,1259.0,14.2,전라북도
57,2002,남원,12.6,19.3,6.8,35.2,-11.8,1624.0,14.4,전라북도
58,2002,장수,10.6,16.8,5.2,32.7,-14.3,1698.5,12.5,전라북도
59,2002,장흥,12.8,18.8,7.6,32.7,-8.6,1909.3,14.6,전라남도
60,2002,해남,12.8,18.6,7.6,33.9,-10.1,1534.0,15.4,전라남도
61,2002,고흥,13.8,19.2,8.7,34.5,-6.8,1802.3,14.4,전라남도
62,2002,봉화,9.1,16.0,3.0,33.5,-20.2,1714.1,12.6,경상북도
63,2002,영주,11.0,16.7,5.6,33.7,-14.8,1594.9,13.2,경상북도
64,2002,문경,11.2,16.8,6.1,32.2,-11.1,1411.4,13.8,경상북도
65,2002,영덕,12.3,17.1,7.9,33.5,-10.1,1380.0,14.6,경상북도
66,2002,의성,10.8,18.1,4.4,34.4,-18.0,1430.9,13.1,경상북도
67,2002,구미,13.0,19.0,7.8,34.9,-9.1,1327.1,14.9,경상북도
68,2002,영천,12.5,18.8,6.8,35.4,-11.6,1178.0,13.6,경상북도
69,2002,거창,12.1,18.9,6.3,34.7,-12.0,1768.6,14.2,경상남도
70,2002,합천,13.3,20.0,7.6,35.7,-11.5,1687.1,15.8,경상남도
